Player,Pos,year,sportsref_predicted_url
Jamar Johnson,DB,2021,https://www.sports-reference.com/cfb/players/jamar-johnson-1.html
James Wiggins,S,2021,https://www.sports-reference.com/cfb/players/james-wiggins-1.html
Jamien Sherwood,DB,2021,https://www.sports-reference.com/cfb/players/jamien-sherwood-1.html
Jaycee Horn,DB,2021,https://www.sports-reference.com/cfb/players/jaycee-horn-1.html
Jevon Holland,S,2021,https://www.sports-reference.com/cfb/players/jevon-holland-1.html
Joshuah Bledsoe,S,2021,https://www.sports-reference.com/cfb/players/joshuah-bledsoe-1.html
Kary Vincent Jr.,CB,2021,https://www.sports-reference.com/cfb/players/kary-vincent-jr-1.html
Keith Taylor,DB,2021,https://www.sports-reference.com/cfb/players/keith-taylor-1.html
Kelvin Joseph,DB,2021,https://www.sports-reference.com/cfb/players/kelvin-joseph-1.html
Marco Wilson,CB,2021,https://www.sports-reference.com/cfb/players/marco-wilson-1.html
Mark Webb,DB,2021,https://www.sports-reference.com/cfb/players/mark-webb-1.html
Nahshon Wright,DB,2021,https://www.sports-reference.com/cfb/players/nahshon-wright-1.html
Paulson Adebo,CB,2021,https://www.sports-reference.com/cfb/players/paulson-adebo-1.html
Rachad Wildgoose,CB,2021,https://www.sports-reference.com/cfb/players/rachad-wildgoose-1.html
Richard LeCounte,DB,2021,https://www.sports-reference.com/cfb/players/richard-lecounte-1.html
Richie Grant,DB,2021,https://www.sports-reference.com/cfb/players/richie-grant-1.html
Rodarius Williams,CB,2021,https://www.sports-reference.com/cfb/players/rodarius-williams-1.html
Shaun Wade,CB,2021,https://www.sports-reference.com/cfb/players/shaun-wade-1.html
Shawn Davis,DB,2021,https://www.sports-reference.com/cfb/players/shawn-davis-1.html
Talanoa Hufanga,S,2021,https://www.sports-reference.com/cfb/players/talanoa-hufanga-1.html
Tre Brown,CB,2021,https://www.sports-reference.com/cfb/players/tre-brown-1.html
Tre Norwood,DB,2021,https://www.sports-reference.com/cfb/players/tre-norwood-1.html
Trevon Moehrig,S,2021,https://www.sports-reference.com/cfb/players/trevon-moehrig-1.html
Tyree Gillespie,S,2021,https://www.sports-reference.com/cfb/players/tyree-gillespie-1.html
Tyson Campbell,DB,2021,https://www.sports-reference.com/cfb/players/tyson-campbell-1.html
Akayleb Evans,CB,2022,https://www.sports-reference.com/cfb/players/akayleb-evans-1.html
Alontae Taylor,CB,2022,https://www.sports-reference.com/cfb/players/alontae-taylor-1.html
Andrew Booth,CB,2022,https://www.sports-reference.com/cfb/players/andrew-booth-1.html
Bryan Cook,S,2022,https://www.sports-reference.com/cfb/players/bryan-cook-1.html
Cam Taylor-Britt,CB,2022,https://www.sports-reference.com/cfb/players/cam-taylor-britt-1.html
Chase Lucas,CB,2022,https://www.sports-reference.com/cfb/players/chase-lucas-1.html
Cobie Durant,CB,2022,https://www.sports-reference.com/cfb/players/cobie-durant-1.html
Coby Bryant,CB,2022,https://www.sports-reference.com/cfb/players/coby-bryant-1.html
Cordale Flott,CB,2022,https://www.sports-reference.com/cfb/players/cordale-flott-1.html
Damarion Williams,CB,2022,https://www.sports-reference.com/cfb/players/damarion-williams-1.html
Damarri Mathis,CB,2022,https://www.sports-reference.com/cfb/players/damarri-mathis-1.html
Dane Belton,S,2022,https://www.sports-reference.com/cfb/players/dane-belton-1.html
Delarrin Turner-Yell,S,2022,https://www.sports-reference.com/cfb/players/delarrin-turner-yell-1.html
Derek Stingley,CB,2022,https://www.sports-reference.com/cfb/players/derek-stingley-1.html
Derion Kendrick,CB,2022,https://www.sports-reference.com/cfb/players/derion-kendrick-1.html
JT Woods,S,2022,https://www.sports-reference.com/cfb/players/jt-woods-1.html
Jack Jones,CB,2022,https://www.sports-reference.com/cfb/players/jack-jones-1.html
Jalen Pitre,S,2022,https://www.sports-reference.com/cfb/players/jalen-pitre-1.html
Jalyn Armour-Davis,CB,2022,https://www.sports-reference.com/cfb/players/jalyn-armour-davis-1.html
