assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,expected_draft_year_source,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
,,SR,,Pac-10,2008,currentPlayer,2007,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/josh-barrett-1.html,0,Josh Barrett,DB,,Arizona State,2026-04-02T07:25:52.417Z,,season_totals,
,,SR,,Big East,2008,currentPlayer,2007,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/tyvon-branch-1.html,0,Tyvon Branch,DB,,Connecticut,2026-04-02T07:26:07.526Z,,season_totals,
,,SR,,Ind,2008,currentPlayer,2007,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/caleb-campbell-1.html,2,Caleb Campbell,DB,,Army,2026-04-02T07:26:12.412Z,,season_totals,
,AA,SR,,Pac-10,2008,currentPlayer,2007,,,,,12,2,164,5,https://www.sports-reference.com/cfb/players/antoine-cason-1.html,0,Antoine Cason,DB,,Arizona,2026-04-02T07:26:17.564Z,,season_totals,
,,SR,,Pac-10,2008,currentPlayer,2007,,,,,13,0,0,1,https://www.sports-reference.com/cfb/players/thomas-decoud-1.html,0,Thomas Decoud,DB,,California,2026-04-02T07:26:22.392Z,,season_totals,
,,SR,,CUSA,2008,currentPlayer,2007,,,,,12,2,220,5,https://www.sports-reference.com/cfb/players/quintin-demps-1.html,0,Quintin Demps,DB,,UTEP,2026-04-02T07:26:27.527Z,,season_totals,
,,JR,,ACC,2008,currentPlayer,2007,,,,,14,1,93,5,https://www.sports-reference.com/cfb/players/brandon-flowers-1.html,0,Brandon Flowers,DB,,Virginia Tech,2026-04-02T07:26:32.645Z,,season_totals,
,,SR,,Big Ten,2008,currentPlayer,2007,,,,,12,0,33,5,https://www.sports-reference.com/cfb/players/charles-godfrey-1.html,0,Charles Godfrey,DB,,Iowa,2026-04-02T07:26:37.526Z,,season_totals,
,,SR,,Pac-10,2008,currentPlayer,2007,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/chris-horton-1.html,4,Chris Horton,DB,,UCLA,2026-04-02T07:26:42.444Z,,season_totals,
,,SR,,SEC,2008,currentPlayer,2007,,,,,14,0,52,5,https://www.sports-reference.com/cfb/players/chevis-jackson-1.html,0,Chevis Jackson,DB,,LSU,2026-04-02T07:26:47.531Z,,season_totals,
,,SR,,Big East,2008,currentPlayer,2007,,,,,13,0,41,3,https://www.sports-reference.com/cfb/players/mike-jenkins-1.html,0,Mike Jenkins,DB,,South Florida,2026-04-02T07:26:52.534Z,,season_totals,
,,SR,,Sun Belt,2008,currentPlayer,2007,,,,,12,1,142,6,https://www.sports-reference.com/cfb/players/tyrell-johnson-1.html,0,Tyrell Johnson,DB,,Arkansas State,2026-04-02T07:26:57.605Z,,season_totals,
,,JR,,Big Ten,2008,currentPlayer,2007,,,,,13,0,6,2,https://www.sports-reference.com/cfb/players/justin-king-1.html,0,Justin King,DB,,Penn State,2026-04-02T07:27:02.727Z,,season_totals,
,,SR,,WAC,2008,currentPlayer,2007,,,,,12,1,36,4,https://www.sports-reference.com/cfb/players/dwight-lowery-1.html,0,Dwight Lowery,DB,,San Jose State,2026-04-02T07:27:17.647Z,,season_totals,
,,SR,,Sun Belt,2008,currentPlayer,2007,,,,,12,0,-9,2,https://www.sports-reference.com/cfb/players/leodis-mckelvin-1.html,0,Leodis McKelvin,DB,,Troy,2026-04-02T07:27:22.960Z,,season_totals,
,,JR,,ACC,2008,currentPlayer,2007,,,,,12,0,0,3,https://www.sports-reference.com/cfb/players/dajuan-morgan-1.html,0,Dajuan Morgan,WR/DB,,North Carolina State,2026-04-02T07:27:37.561Z,,season_totals,
,,JR,,ACC,2008,currentPlayer,2007,,,,,12,0,5,2,https://www.sports-reference.com/cfb/players/kenny-phillips-1.html,0,Kenny Phillips,DB,,Miami (FL),2026-04-02T07:27:42.578Z,,season_totals,
,,SR,,Big Ten,2008,currentPlayer,2007,,,,,13,0,137,6,https://www.sports-reference.com/cfb/players/tracy-porter-1.html,0,Tracy Porter,DB,,Indiana,2026-04-02T07:27:47.494Z,,season_totals,
,,JR,,WAC,2008,currentPlayer,2007,,,,,13,0,42,2,https://www.sports-reference.com/cfb/players/orlando-scandrick-1.html,0,Orlando Scandrick,DB,,Boise State,2026-04-02T07:28:02.050Z,,season_totals,
,,JR,,Big 12,2008,currentPlayer,2007,,,,,13,0,48,3,https://www.sports-reference.com/cfb/players/reggie-smith-1.html,0,Reggie Smith,DB,,Oklahoma,2026-04-02T07:28:07.035Z,,season_totals,
,AA,SR,,SEC,2008,currentPlayer,2007,,,,,14,0,153,6,https://www.sports-reference.com/cfb/players/craig-steltz-1.html,0,Craig Steltz,DB,,LSU,2026-04-02T07:28:12.004Z,,season_totals,
,AA,JR,,Big 12,2008,currentPlayer,2007,,,,,13,2,195,5,https://www.sports-reference.com/cfb/players/aqib-talib-1.html,0,Aqib Talib,DB,,Kansas,2026-04-02T07:28:17.021Z,,season_totals,
,,SR,,Pac-10,2008,currentPlayer,2007,,,,,13,0,44,4,https://www.sports-reference.com/cfb/players/terrell-thomas-1.html,0,Terrell Thomas,DB,,USC,2026-04-02T07:28:21.956Z,,season_totals,
,,SR,,Pac-10,2008,currentPlayer,2007,,,,,13,1,122,3,https://www.sports-reference.com/cfb/players/justin-tryon-1.html,0,Justin Tryon,DB,,Arizona State,2026-04-02T07:28:27.108Z,,season_totals,
,,SR,,Big 12,2008,currentPlayer,2007,,,,,11,1,65,5,https://www.sports-reference.com/cfb/players/terrence-wheatley-1.html,0,Terrence Wheatley,DB,,Colorado,2026-04-02T07:28:32.062Z,,season_totals,
,,SR,,SEC,2008,currentPlayer,2007,,,,,12,0,0,2,https://www.sports-reference.com/cfb/players/jonathan-wilhite-1.html,0,Jonathan Wilhite,DB,,Auburn,2026-04-02T07:28:37.048Z,,season_totals,
,,SR,,Big East,2008,currentPlayer,2007,,,,,13,3,164,6,https://www.sports-reference.com/cfb/players/trae-williams-1.html,0,Trae Williams,DB,,South Florida,2026-04-02T07:28:41.990Z,,season_totals,
,,SR,,Ind,2008,currentPlayer,2007,,,,,12,0,41,2,https://www.sports-reference.com/cfb/players/tom-zbikowski-1.html,0,Tom Zbikowski,DB,,Notre Dame,2026-04-02T07:28:46.978Z,,season_totals,
,,JR,,SEC,2009,currentPlayer,2008,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/asher-allen-1.html,0,Asher Allen,DB,,Georgia,2026-04-02T07:28:52.011Z,,season_totals,
,,SR,,ACC,2009,currentPlayer,2008,,,,,7,0,27,2,https://www.sports-reference.com/cfb/players/kevin-barnes-1.html,0,Kevin Barnes,DB,,Maryland,2026-04-02T07:28:57.016Z,,season_totals,
,,SR,,Ind,2009,currentPlayer,2008,,,,,13,0,57,4,https://www.sports-reference.com/cfb/players/david-bruton-1.html,0,David Bruton,DB,,Notre Dame,2026-04-02T07:29:01.996Z,,season_totals,
,,SR,,CUSA,2009,currentPlayer,2008,,,,,12,0,103,4,https://www.sports-reference.com/cfb/players/joe-burnett-1.html,0,Joe Burnett,DB,,UCF,2026-04-02T07:29:07.000Z,,season_totals,
,,SR,,Big East,2009,currentPlayer,2008,,,,,10,0,0,0,https://www.sports-reference.com/cfb/players/darius-butler-1.html,0,Darius Butler,DB/WR,,Connecticut,2026-04-02T07:29:12.072Z,,season_totals,
,,JR,,Pac-10,2009,currentPlayer,2008,,,,,13,0,52,5,https://www.sports-reference.com/cfb/players/jairus-byrd-1.html,0,Jairus Byrd,DB,,Oregon,2026-04-02T07:29:17.055Z,,season_totals,
,,SR,,Pac-10,2009,currentPlayer,2008,,,,,13,1,31,1,https://www.sports-reference.com/cfb/players/patrick-chung-1.html,0,Patrick Chung,DB,,Oregon,2026-04-02T07:29:22.010Z,,season_totals,
,,SR,,ACC,2009,currentPlayer,2008,,,,,13,1,43,2,https://www.sports-reference.com/cfb/players/chris-clemons-1.html,0,Chris Clemons,DB,,Clemson,2026-04-02T07:29:27.059Z,,season_totals,
,,JR,,Big Ten,2009,currentPlayer,2008,,,,,12,0,12,2,https://www.sports-reference.com/cfb/players/vontae-davis-1.html,0,Vontae Davis,DB,,Illinois,2026-04-02T07:29:31.996Z,,season_totals,
,,SR,,MAC,2009,currentPlayer,2008,,,,,13,1,98,4,https://www.sports-reference.com/cfb/players/louis-delmas-1.html,0,Louis Delmas,DB,,Western Michigan,2026-04-02T07:29:37.266Z,,season_totals,
,,SR,,Big Ten,2009,currentPlayer,2008,,,,,13,0,5,3,https://www.sports-reference.com/cfb/players/bradley-fletcher-1.html,0,Bradley Fletcher,DB,,Iowa,2026-04-02T07:29:42.036Z,,season_totals,
,,SR,,WAC,2009,currentPlayer,2008,,,,,12,0,17,3,https://www.sports-reference.com/cfb/players/coye-francies-1.html,6,Coye Francies,DB,,San Jose State,2026-04-02T07:29:47.160Z,,season_totals,
,,SR,,Big East,2009,currentPlayer,2008,,,,,13,0,14,2,https://www.sports-reference.com/cfb/players/courtney-greene-1.html,0,Courtney Greene,DB,,Rutgers,2026-04-02T07:29:52.029Z,,season_totals,
,,SR,,Pac-10,2009,currentPlayer,2008,,,,,13,0,0,3,https://www.sports-reference.com/cfb/players/cary-harris-1.html,0,Cary Harris,DB,,USC,2026-04-02T07:29:57.033Z,,season_totals,
,,SR,,Pac-10,2009,currentPlayer,2008,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/brandon-hughes-1.html,0,Brandon Hughes,DB,,Oregon State,2026-04-02T07:30:09.737Z,,season_totals,
,AA,SR,,Big Ten,2009,currentPlayer,2008,,,,,13,0,7,3,https://www.sports-reference.com/cfb/players/malcolm-jenkins-1.html,0,Malcolm Jenkins,DB,,Ohio State,2026-04-02T07:30:14.792Z,,season_totals,
,,JR,,SEC,2009,currentPlayer,2008,,,,,14,2,125,5,https://www.sports-reference.com/cfb/players/rashad-johnson-1.html,0,Rashad Johnson,DB,,Alabama,2026-04-02T07:30:19.873Z,,season_totals,
,,SR,,Pac-10,2009,currentPlayer,2008,,,,,13,1,29,4,https://www.sports-reference.com/cfb/players/keenan-lewis-1.html,0,Keenan Lewis,DB,,Oregon State,2026-04-02T07:30:24.852Z,,season_totals,
,,SR,,Sun Belt,2009,currentPlayer,2008,,,,,13,0,44,4,https://www.sports-reference.com/cfb/players/sherrod-martin-1.html,0,Sherrod Martin,DB,,Troy,2026-04-02T07:30:29.798Z,,season_totals,
,,SR,,Big 12,2009,currentPlayer,2008,,,,,13,2,97,7,https://www.sports-reference.com/cfb/players/darcel-mcbath-1.html,0,Darcel McBath,DB,,Texas Tech,2026-04-02T07:30:34.780Z,,season_totals,
,,JR,,SEC,2009,currentPlayer,2008,,,,,13,0,56,6,https://www.sports-reference.com/cfb/players/dj-moore-1.html,0,D.J. Moore,DB,,Vanderbilt,2026-04-02T07:30:39.931Z,,season_totals,
,,SR,,Big 12,2009,currentPlayer,2008,,,,,12,1,17,1,https://www.sports-reference.com/cfb/players/william-moore-1.html,0,William Moore,DB,,Missouri,2026-04-02T07:30:44.812Z,,season_totals,
,,JR,,SEC,2009,currentPlayer,2008,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/captain-munnerlyn-1.html,0,Captain Munnerlyn,DB,,South Carolina,2026-04-02T07:30:49.802Z,,season_totals,
,,SR,,Pac-10,2009,currentPlayer,2008,,,,,12,2,167,4,https://www.sports-reference.com/cfb/players/troy-nolan-1.html,0,Troy Nolan,DB,,Arizona State,2026-04-02T07:30:54.803Z,,season_totals,
,,JR,,SEC,2009,currentPlayer,2008,,,,,10,0,0,2,https://www.sports-reference.com/cfb/players/jerraud-powers-1.html,0,Jerraud Powers,DB,,Auburn,2026-04-02T07:31:25.654Z,,season_totals,
,,SR,,MWC,2009,currentPlayer,2008,,,,,12,0,95,5,https://www.sports-reference.com/cfb/players/glover-quin-1.html,0,Glover Quin,DB,,New Mexico,2026-04-02T07:31:30.649Z,,season_totals,
,,SR,,SEC,2009,currentPlayer,2008,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/jamarca-sanford-1.html,0,Jamarca Sanford,DB,,Ole Miss,2026-04-02T07:31:35.676Z,,season_totals,
,AA,SR,,ACC,2009,currentPlayer,2008,,,,,13,0,33,7,https://www.sports-reference.com/cfb/players/alphonso-smith-1.html,0,Alphonso Smith,DB,,Wake Forest,2026-04-02T07:31:40.676Z,,season_totals,
,,SR,,Big East,2009,currentPlayer,2008,,,,,13,0,2,2,https://www.sports-reference.com/cfb/players/deangelo-smith-1.html,0,Deangelo Smith,DB,,Cincinnati,2026-04-02T07:31:45.752Z,,season_totals,
,,JR,,MWC,2009,currentPlayer,2008,,,,,13,1,151,5,https://www.sports-reference.com/cfb/players/sean-smith-2.html,0,Sean Smith,WR/DB,,Utah,2026-04-02T07:31:58.860Z,,season_totals,
,,SR,,SEC,2009,currentPlayer,2008,,,,,13,0,37,2,https://www.sports-reference.com/cfb/players/curtis-taylor-1.html,0,Curtis Taylor,DB,,LSU,2026-04-02T07:32:03.781Z,,season_totals,
,,SR,,Big Ten,2009,currentPlayer,2008,,,,,12,0,0,3,https://www.sports-reference.com/cfb/players/morgan-trent-1.html,0,Morgan Trent,DB,,Michigan,2026-04-02T07:32:08.809Z,,season_totals,
,,SR,,Big East,2009,currentPlayer,2008,,,,,14,1,60,4,https://www.sports-reference.com/cfb/players/brandon-underwood-1.html,0,Brandon Underwood,DB,,Cincinnati,2026-04-02T07:32:13.831Z,,season_totals,
,,SR,,ACC,2009,currentPlayer,2008,,,,,13,0,37,2,https://www.sports-reference.com/cfb/players/chip-vaughn-1.html,0,Chip Vaughn,DB,,Wake Forest,2026-04-02T07:32:18.847Z,,season_totals,
,,JR,,Big Ten,2009,currentPlayer,2008,,,,,11,0,34,1,https://www.sports-reference.com/cfb/players/donald-washington-1.html,0,Donald Washington,DB,,Ohio State,2026-04-02T07:32:23.839Z,,season_totals,
,,SR,,Big East,2010,currentPlayer,2009,,,,,13,0,55,4,https://www.sports-reference.com/cfb/players/nate-allen-1.html,0,Nate Allen,DB,,South Florida,2026-04-02T07:32:36.570Z,,season_totals,
,AA,SR,,SEC,2010,currentPlayer,2009,,,,,13,0,25,5,https://www.sports-reference.com/cfb/players/javier-arenas-1.html,0,Javier Arenas,DB,,Alabama,2026-04-02T07:32:41.749Z,,season_totals,
,,SR,,Big 12,2010,currentPlayer,2009,,,,,14,1,74,2,https://www.sports-reference.com/cfb/players/larry-asante-1.html,0,Larry Asante,DB,,Nebraska,2026-04-02T07:32:46.616Z,,season_totals,
,AA,JR,,SEC,2010,currentPlayer,2009,,,,,13,0,7,2,https://www.sports-reference.com/cfb/players/eric-berry-1.html,0,Eric Berry,DB,,Tennessee,2026-04-02T07:32:51.638Z,,season_totals,
,,JR,,ACC,2010,currentPlayer,2009,,,,,14,0,40,4,https://www.sports-reference.com/cfb/players/morgan-burnett-1.html,0,Morgan Burnett,DB,,Georgia Tech,2026-04-02T07:32:56.746Z,,season_totals,
,,SR,,ACC,2010,currentPlayer,2009,,,,,14,0,47,1,https://www.sports-reference.com/cfb/players/crezdon-butler-1.html,0,Crezdon Butler,DB,,Clemson,2026-04-02T07:33:02.031Z,,season_totals,
,,SR,,ACC,2010,currentPlayer,2009,,,,,2,0,0,0,https://www.sports-reference.com/cfb/players/nolan-carroll-1.html,1,Nolan Carroll,WR/DB,,Maryland,2026-04-02T07:33:06.595Z,,season_totals,
,,SR,,ACC,2010,currentPlayer,2009,,,,,13,0,-3,2,https://www.sports-reference.com/cfb/players/kam-chancellor-1.html,0,Kam Chancellor,DB,,Virginia Tech,2026-04-02T07:33:11.638Z,,season_totals,
,,SR,,Big Ten,2010,currentPlayer,2009,,,,,12,1,129,5,https://www.sports-reference.com/cfb/players/kurt-coleman-1.html,0,Kurt Coleman,DB,,Ohio State,2026-04-02T07:33:16.675Z,,season_totals,
,,SR,,ACC,2010,currentPlayer,2009,,,,,12,1,66,4,https://www.sports-reference.com/cfb/players/chris-cook-2.html,0,Chris Cook,DL/DB,,Virginia,2026-04-02T07:33:26.874Z,,season_totals,
,,SR,,Big 12,2010,currentPlayer,2009,,,,,11,0,12,4,https://www.sports-reference.com/cfb/players/perrish-cox-1.html,0,Perrish Cox,DB,,Oklahoma State,2026-04-02T07:33:31.714Z,,season_totals,
,,JR,,Big 12,2010,currentPlayer,2009,,,,,13,1,97,2,https://www.sports-reference.com/cfb/players/dominique-franks-1.html,0,Dominique Franks,DB,,Oklahoma,2026-04-02T07:33:36.726Z,,season_totals,
,,SR,,ACC,2010,currentPlayer,2009,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-ghee-1.html,8,Brandon Ghee,DB,,Wake Forest,2026-04-02T07:33:41.759Z,,season_totals,
,,SR,,ACC,2010,currentPlayer,2009,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/cody-grimm-1.html,5,Cody Grimm,LB,,Virginia Tech,2026-04-02T07:33:46.623Z,,season_totals,
,AA,JR,,SEC,2010,currentPlayer,2009,,,,,14,0,20,4,https://www.sports-reference.com/cfb/players/joe-haden-1.html,0,Joe Haden,DB,,Florida,2026-04-02T07:33:51.679Z,,season_totals,
,,JR,,SEC,2010,currentPlayer,2009,,,,,14,0,79,1,https://www.sports-reference.com/cfb/players/kareem-jackson-1.html,0,Kareem Jackson,DB,,Alabama,2026-04-02T07:33:56.771Z,,season_totals,
,,JR,,SEC,2010,currentPlayer,2009,,,,,13,0,89,4,https://www.sports-reference.com/cfb/players/reshad-jones-1.html,0,Reshad Jones,DB,,Georgia,2026-04-02T07:34:01.837Z,,season_totals,
,,SR,,SEC,2010,currentPlayer,2009,,,,,13,0,6,2,https://www.sports-reference.com/cfb/players/kendrick-lewis-1.html,0,Kendrick Lewis,WR/DB,,Ole Miss,2026-04-02T07:34:06.714Z,,season_totals,
,,SR,,SEC,2010,currentPlayer,2009,,,,,11,0,50,4,https://www.sports-reference.com/cfb/players/myron-lewis-1.html,0,Myron Lewis,DB,,Vanderbilt,2026-04-02T07:34:11.687Z,,season_totals,
,,SR,,SEC,2010,currentPlayer,2009,,,,,9,1,25,1,https://www.sports-reference.com/cfb/players/trevard-lindley-1.html,0,Trevard Lindley,DB,,Kentucky,2026-04-02T07:34:16.787Z,,season_totals,
,,SR,,Pac-10,2010,currentPlayer,2009,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/taylor-mays-1.html,0,Taylor Mays,DB,,USC,2026-04-02T07:34:21.713Z,,season_totals,
,,SR,,Big East,2010,currentPlayer,2009,,,,,13,0,0,1,https://www.sports-reference.com/cfb/players/devin-mccourty-1.html,0,Devin McCourty,DB,,Rutgers,2026-04-02T07:34:26.741Z,,season_totals,
,,SR,,Big Ten,2010,currentPlayer,2009,,,,,10,0,0,5,https://www.sports-reference.com/cfb/players/sherrick-mcmanis-1.html,0,Sherrick McManis,DB,,Northwestern,2026-04-02T07:34:31.891Z,,season_totals,
,,JR,,Big 12,2010,currentPlayer,2009,,,,,12,0,22,2,https://www.sports-reference.com/cfb/players/joshua-moore-1.html,0,Joshua Moore,DB,,Kansas State,2026-04-02T07:34:36.919Z,,season_totals,
,,SR,,Big East,2010,currentPlayer,2009,,,,,13,0,59,4,https://www.sports-reference.com/cfb/players/jerome-murphy-1.html,0,Jerome Murphy,DB,,South Florida,2026-04-02T07:34:41.789Z,,season_totals,
,,SR,,ACC,2010,currentPlayer,2009,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/patrick-robinson-1.html,0,Patrick Robinson,DB,,Florida State,2026-04-02T07:34:54.768Z,,season_totals,
,,JR,,Big Ten,2010,currentPlayer,2009,,,,,13,0,0,2,https://www.sports-reference.com/cfb/players/amari-spievey-1.html,0,Amari Spievey,DB,,Iowa,2026-04-02T07:34:59.769Z,,season_totals,
,,SR,,Big 12,2010,currentPlayer,2009,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/darrell-stuckey-1.html,0,Darrell Stuckey,DB,,Kansas,2026-04-02T07:35:04.785Z,,season_totals,
,AA,SO,,Big 12,2010,currentPlayer,2009,,,,,14,2,149,8,https://www.sports-reference.com/cfb/players/earl-thomas-1.html,0,Earl Thomas,DB,,Texas,2026-04-02T07:35:09.769Z,,season_totals,
,,SR,,Pac-10,2010,currentPlayer,2009,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/kevin-thomas-3.html,11,Kevin Thomas,DB,,USC,2026-04-02T07:35:24.891Z,,season_totals,
,,SR,,Pac-10,2010,currentPlayer,2009,,,,,13,0,38,1,https://www.sports-reference.com/cfb/players/sydquan-thompson-1.html,0,Syd'Quan Thompson,DB,,California,2026-04-02T07:35:29.781Z,,season_totals,
,,SR,,Pac-10,2010,currentPlayer,2009,,,,,13,1,158,5,https://www.sports-reference.com/cfb/players/alterraun-verner-1.html,0,Alterraun Verner,DB,,UCLA,2026-04-02T07:35:42.776Z,,season_totals,
,,SR,,Big 12,2010,currentPlayer,2009,,,,,13,0,15,2,https://www.sports-reference.com/cfb/players/jamar-wall-1.html,0,Jamar Wall,DB,,Texas Tech,2026-04-02T07:35:48.007Z,,season_totals,
,,SR,,Pac-10,2010,currentPlayer,2009,,,,,9,0,7,1,https://www.sports-reference.com/cfb/players/tj-ward-1.html,0,T.J. Ward,DB,,Oregon,2026-04-02T07:35:52.847Z,,season_totals,
,,SR,,WAC,2010,currentPlayer,2009,,,,,14,2,98,3,https://www.sports-reference.com/cfb/players/kyle-wilson-1.html,0,Kyle Wilson,DB,,Boise State,2026-04-02T07:35:57.862Z,,season_totals,
,,JR,,SEC,2010,currentPlayer,2009,,,,,14,0,34,3,https://www.sports-reference.com/cfb/players/major-wright-1.html,0,Major Wright,DB,,Florida,2026-04-02T07:36:02.874Z,,season_totals,
,AA,SR,,Big 12,2011,currentPlayer,2010,,,,,14,0,0,0,https://www.sports-reference.com/cfb/players/prince-amukamara-1.html,13,Prince Amukamara,DB,,Nebraska,2026-04-02T07:36:15.773Z,,season_totals,
,,SR,,SEC,2011,currentPlayer,2010,,,,,13,1,171,5,https://www.sports-reference.com/cfb/players/ahmad-black-1.html,0,Ahmad Black,DB,,Florida,2026-04-02T07:36:20.700Z,,season_totals,
,,SR,,Big 12,2011,currentPlayer,2010,,,,,9,0,0,0,https://www.sports-reference.com/cfb/players/chykie-brown-1.html,6,Chykie Brown,DB,,Texas,2026-04-02T07:36:25.725Z,,season_totals,
,,JR,,MAC,2011,currentPlayer,2010,,,,,4,0,0,0,https://www.sports-reference.com/cfb/players/curtis-brown-1.html,0,Curtis Brown,WR,,Akron,2026-04-02T07:36:30.654Z,,season_totals,
,,SR,,Big 12,2011,currentPlayer,2010,,,,,12,0,0,3,https://www.sports-reference.com/cfb/players/jalil-brown-1.html,0,Jalil Brown,DB,,Colorado,2026-04-02T07:36:35.862Z,,season_totals,
,,JR,,MWC,2011,currentPlayer,2010,,,,,13,0,69,2,https://www.sports-reference.com/cfb/players/brandon-burton-1.html,0,Brandon Burton,DB,,Utah,2026-04-02T07:36:40.844Z,,season_totals,
,AA,SR,,Big 12,2011,currentPlayer,2010,,,,,14,0,38,4,https://www.sports-reference.com/cfb/players/quinton-carter-1.html,0,Quinton Carter,DB,,Oklahoma,2026-04-02T07:36:53.411Z,,season_totals,
,,SR,,Big Ten,2011,currentPlayer,2010,,,,,13,0,22,3,https://www.sports-reference.com/cfb/players/chimdi-chekwa-1.html,0,Chimdi Chekwa,DB,,Ohio State,2026-04-02T07:36:58.552Z,,season_totals,
,,SR,,Pac-10,2011,currentPlayer,2010,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/chris-conte-1.html,0,Chris Conte,DB,,California,2026-04-02T07:37:03.483Z,,season_totals,
,,SR,,SEC,2011,currentPlayer,2010,,,,,7,0,0,0,https://www.sports-reference.com/cfb/players/chris-culliver-1.html,0,Chris Culliver,WR/DB,,South Carolina,2026-04-02T07:37:08.449Z,,season_totals,
,,SR,,ACC,2011,currentPlayer,2010,,,,,5,0,0,0,https://www.sports-reference.com/cfb/players/ras-i-dowling-1.html,1,Ras-I Dowling,DB,,Virginia,2026-04-02T07:37:13.493Z,,season_totals,
,,SR,,ACC,2011,currentPlayer,2010,,,,,13,0,74,2,https://www.sports-reference.com/cfb/players/demarcus-van-dyke-1.html,0,Demarcus Van Dyke,DB,,Miami (FL),2026-04-02T07:37:18.602Z,,season_totals,
,,SR,,ACC,2011,currentPlayer,2010,,,,,13,0,0,1,https://www.sports-reference.com/cfb/players/marcus-gilchrist-1.html,0,Marcus Gilchrist,DB,,Clemson,2026-04-02T07:37:23.583Z,,season_totals,
,,SR,,Big 12,2011,currentPlayer,2010,,,,,14,1,67,3,https://www.sports-reference.com/cfb/players/dejon-gomes-1.html,0,Dejon Gomes,DB,,Nebraska,2026-04-02T07:37:28.573Z,,season_totals,
,,SR,,Big 12,2011,currentPlayer,2010,,,,,14,0,37,5,https://www.sports-reference.com/cfb/players/eric-hagg-1.html,0,Eric Hagg,DB,,Nebraska,2026-04-02T07:37:33.454Z,,season_totals,
,,JR,,ACC,2011,currentPlayer,2010,,,,,13,0,0,1,https://www.sports-reference.com/cfb/players/brandon-harris-1.html,0,Brandon Harris,DB,,Miami (FL),2026-04-02T07:37:38.497Z,,season_totals,
,,SR,,Big Ten,2011,currentPlayer,2010,,,,,13,0,23,1,https://www.sports-reference.com/cfb/players/jermale-hines-1.html,0,Jermale Hines,LB,,Ohio State,2026-04-02T07:37:43.516Z,,season_totals,
,,SR,,Big East,2011,currentPlayer,2010,,,,,11,0,78,3,https://www.sports-reference.com/cfb/players/brandon-hogan-1.html,0,Brandon Hogan,WR/DB,,West Virginia,2026-04-02T07:37:48.529Z,,season_totals,
,,SR,,WAC,2011,currentPlayer,2010,,,,,12,1,48,2,https://www.sports-reference.com/cfb/players/davon-house-1.html,0,Davon House,DB,,New Mexico State,2026-04-02T07:37:53.538Z,,season_totals,
,,SR,,MAC,2011,currentPlayer,2010,,,,,12,0,30,2,https://www.sports-reference.com/cfb/players/jaiquawn-jarrett-1.html,0,Jaiquawn Jarrett,DB,,Temple,2026-04-02T07:37:58.641Z,,season_totals,
,,SR,,WAC,2011,currentPlayer,2010,,,,,13,0,62,3,https://www.sports-reference.com/cfb/players/shiloh-keo-1.html,0,Shiloh Keo,DB,,Idaho,2026-04-02T07:38:03.478Z,,season_totals,
,,SR,,WAC,2011,currentPlayer,2010,,,,,12,0,0,2,https://www.sports-reference.com/cfb/players/curtis-marsh-1.html,0,Curtis Marsh,RB/DB,,Utah State,2026-04-02T07:38:08.552Z,,season_totals,
,,SR,,ACC,2011,currentPlayer,2010,,,,,13,0,0,2,https://www.sports-reference.com/cfb/players/byron-maxwell-1.html,0,Byron Maxwell,DB,,Clemson,2026-04-02T07:38:13.503Z,,season_totals,
,,JR,,Pac-10,2011,currentPlayer,2010,,,,,12,0,42,1,https://www.sports-reference.com/cfb/players/rahim-moore-1.html,0,Rahim Moore,DB,,UCLA,2026-04-02T07:38:18.546Z,,season_totals,
,,SR,,Big East,2011,currentPlayer,2010,,,,,13,1,99,5,https://www.sports-reference.com/cfb/players/johnny-patrick-1.html,0,Johnny Patrick,WR/DB,,Louisville,2026-04-02T07:38:23.513Z,,season_totals,
,"Bednarik,AA",JR,,SEC,2011,currentPlayer,2010,,,,,13,0,134,4,https://www.sports-reference.com/cfb/players/patrick-peterson-1.html,0,Patrick Peterson,DB,,LSU,2026-04-02T07:38:28.547Z,,season_totals,
,,JR,,Big Ten,2011,currentPlayer,2010,,,,,13,0,42,2,https://www.sports-reference.com/cfb/players/tyler-sash-1.html,0,Tyler Sash,DB,,Iowa,2026-04-02T07:39:11.975Z,,season_totals,
