assisted_tackles,awards,class,combined_tackles,conference,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
30,,JR,45,SEC,2012,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/bennie-logan-1.html,3,Bennie Logan,DL,2.0,LSU,2026-04-01T15:29:15.128Z,15,season_totals,5.5
28,,JR,92,Big Ten,2005,0,0,0,0,11,0,0,3,https://www.sports-reference.com/cfb/players/bernard-pollard-1.html,0,Bernard Pollard,DB,0.0,Purdue,2026-04-01T15:29:22.247Z,64,season_totals,1.5
15,,SR,34,MWC,2011,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/billy-winn-1.html,1,Billy Winn,DL,3.0,Boise State,2026-04-01T15:33:53.507Z,19,season_totals,8.0
12,AA,JR,42,ACC,2012,1,1,0,9,14,0,0,0,https://www.sports-reference.com/cfb/players/bjoern-werner-1.html,8,Bjoern Werner,DL,13.0,Florida State,2026-04-01T15:34:00.501Z,30,season_totals,18.0
57,,SR,128,MAC,2016,1,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/blair-brown-1.html,0,Blair Brown,LB,4.5,Ohio,2026-04-01T15:34:07.575Z,71,season_totals,15.0
42,,SR,104,Big Ten,2018,1,1,1,40,12,0,0,0,https://www.sports-reference.com/cfb/players/blake-cashman-1.html,5,Blake Cashman,DB/LB,2.5,Minnesota,2026-04-01T15:34:14.646Z,62,season_totals,15.0
66,,SR,141,Pac-12,2015,1,0,0,0,14,0,10,1,https://www.sports-reference.com/cfb/players/blake-martinez-1.html,6,Blake Martinez,LB,1.5,Stanford,2026-04-01T15:34:28.609Z,75,season_totals,6.5
15,,SR,46,Big East,2012,0,0,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/blidi-wreh-wilson-1.html,0,Blidi Wreh-Wilson,DB,0.0,Connecticut,2026-04-01T15:34:35.717Z,31,season_totals,0.0
16,,SR,49,Big Ten,2005,0,0,0,0,11,0,0,0,https://www.sports-reference.com/cfb/players/bobby-carpenter-1.html,2,Bobby Carpenter,LB,8.0,Ohio State,2026-04-01T15:35:00.708Z,33,season_totals,10.5
8,,SR,46,American,2014,0,1,1,59,13,1,59,5,https://www.sports-reference.com/cfb/players/bobby-mccain-1.html,4,Bobby McCain,DB,0.0,Memphis,2026-04-01T15:35:14.796Z,38,season_totals,1.0
44,,SR,96,Pac-12,2018,2,1,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/bobby-okereke-1.html,5,Bobby Okereke,LB,3.5,Stanford,2026-04-01T15:35:27.370Z,52,season_totals,7.5
8,,SR,34,Big Ten,2021,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/boye-mafe-1.html,0,Boye Mafe,DL,7.0,Minnesota,2026-04-01T15:35:46.940Z,26,season_totals,10.0
26,,SR,43,ACC,2023,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/braden-fiske-1.html,0,Braden Fiske,DT/DL,6.0,Florida State,2026-04-01T15:35:53.979Z,17,season_totals,9.0
11,AA,SR,41,Pac-12,2019,1,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/bradlee-anae-1.html,1,Bradlee Anae,DE,13.0,Utah,2026-04-01T15:36:07.991Z,30,season_totals,14.0
